Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
363308,SHRINERS HOSPITALS FOR CHILDREN - C,2021-01-01,2021-12-31,
364058,SUN BEHAVIORAL COLUMBUS,2021-01-01,2021-12-31,126
371328,ARBUCKLE MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
380001,MID-COLUMBIA MEDICAL CENTER,2021-01-01,2021-12-31,49
380091,KAISER SUNNYSIDE MEDICAL CENTER,2021-01-01,2021-12-31,302
430089,SIOUXLAND SURGERY CENTER,2021-01-01,2021-12-31,38
450330,OAKBEND MEDICAL CENTER,2021-01-01,2021-12-31,218
451339,THROCKMORTON COUNTY HOSPITAL,2021-01-01,2021-12-31,14
461305,MILFORD VALLEY MEMORIAL HOSPITAL,2021-01-01,2021-12-31,23
461308,SAN JUAN HEALTH SERVICES DISTRICT,2021-01-01,2021-12-31,21
461309,KANE COUNTY HOSPITAL,2021-01-01,2021-12-31,25
500016,CENTRAL WASHINGTON HOSPITAL,2021-01-01,2021-12-31,176
500077,PROVIDENCE HOLY FAMILY HOSPITAL,2021-01-01,2021-12-31,184
500148,WENATCHEE VALLEY HOSPITAL,2021-01-01,2021-12-31,20
501308,COULEE MEDICAL CENTER,2021-01-01,2021-12-31,25
501309,PROVIDENCE ST JOSEPHS HOSPITAL,2021-01-01,2021-12-31,23
501316,KLICKITAT VALLEY HEALTH,2021-01-01,2021-12-31,16
501321,NORTH VALLEY HOSPITAL,2021-01-01,2021-12-31,18
501323,JEFFERSON GENERAL HOSPITAL,2021-01-01,2021-12-31,25
501326,PROVIDENCE MOUNT CARMEL HOSPITAL,2021-01-01,2021-12-31,25
501328,MID-VALLEY HOSPITAL,2021-01-01,2021-12-31,25
503025,ST. LUKES REHABILITATION INST.,2021-01-01,2021-12-31,91
504012,SMOKEY POINT BEHAVIORAL HOSPITAL,2021-01-01,2021-12-31,115
504015,SOUTH SOUND BEHAVIORAL HOSPITAL,2021-01-01,2021-12-31,108
530008,SAGE WEST HEALTH CARE,2021-01-01,2021-12-31,133
673027,CENTRAL TEXAS REHAB HOSPITAL,2021-01-01,2021-12-31,50
100121,BARTOW REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,72
110089,COFFEE REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,92
150042,GOOD SAMARITAN HOSPITAL,2021-01-01,2021-12-31,144
150158,IU HEALTH WEST HOSPITAL,2021-01-01,2021-12-31,156
150161,IU HEALTH NORTH HOSPITAL,2021-01-01,2021-12-31,149
151300,COMMUNITY HOSPITAL OF BREMEN  INC.,2021-01-01,2021-12-31,24
151331,HARRISON COUNTY HOSPITAL,2021-01-01,2021-12-31,25
161350,STEWART MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
161362,CHEROKEE REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,25
170146,PROVIDENCE MEDICAL CENTER,2021-01-01,2021-12-31,221
170166,MORTON COUNTY HEALTH SYSTEM,2021-01-01,2021-12-31,26
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,2021-01-01,2021-12-31,17
171373,ALLEN COUNTY REGIONAL HOSPITAL,2021-01-01,2021-12-31,25
190034,ABBEVILLE GENERAL HOSPITAL,2021-01-01,2021-12-31,60
192007,BRIDGEPOINT CONTINUING CARE HOSPITAL,2021-01-01,2021-12-31,44
192041,ZACHARY-AMG SPECIALTY HOSPITAL,2021-01-01,2021-12-31,16
194085,COMPASS BEHAVIORAL CENTER  LLC,2021-01-01,2021-12-31,24
230013,PONTIAC GENERAL HOSPITAL,2021-01-01,2021-12-31,117
230121,MEMORIAL HEALTHCARE,2021-01-01,2021-12-31,145
230146,HENRY FORD HEALTH WYANDOTTE HOSPITAL,2021-01-01,2021-12-31,352
230244,GARDEN CITY HOSPITAL OSTEOPATHIC,2021-01-01,2021-12-31,164
234040,SAMARITAN BEHAVIORAL CENTER,2021-01-01,2021-12-31,55
234042,BEHAVIORAL CENTER OF MICHIGAN,2021-01-01,2021-12-31,42
250096,CROSSGATES RIVER OAKS HOSPITAL,2021-01-01,2021-12-31,82
260017,PHELPS COUNTY REGIONAL MEDICAL CNTR,2021-01-01,2021-12-31,242
260062,SAINT LUKES NORTH HOSPITAL,2021-01-01,2021-12-31,134
260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,2021-01-01,2021-12-31,160
260085,ST JOSEPH MEDICAL CENTER,2021-01-01,2021-12-31,271
260097,WESTERN MISSOURI MEDICAL CENTER,2021-01-01,2021-12-31,59
260108,MISSOURI BAPTIST MEDICAL CENTER,2021-01-01,2021-12-31,426
261324,CASS REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,35
263030,ST. LUKES REHAB HOSPITAL,2021-01-01,2021-12-31,35
280040,NEBRASKA METHODIST HOSPITAL,2021-01-01,2021-12-31,374
451367,UT HEALTH EAST TEXAS PITTSBURG,2020-12-01,2021-11-30,25
500119,VALLEY HOSPITAL & MEDICAL CENTER,2021-01-01,2021-12-31,123
500139,CAPITAL MEDICAL CENTER,2021-05-01,2021-12-04,107
100107,LEHIGH REGIONAL,2021-01-01,2021-12-31,88
100166,HCA FLORIDA SARASOTA DOCTORS HOSPITA,2021-01-01,2021-12-31,155
112017,LANDMARK HOSPITAL OF ATHENS  LLC,2021-01-01,2021-12-31,42
151332,DECATUR CO. MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
153046,COBALT REHAB HOSPITAL LOUISVILLE,2021-01-01,2021-12-31,40
161367,PELLA REGIONAL HEALTH CENTER,2021-01-01,2021-12-31,31
170185,ST. LUKES SOUTH,2021-01-01,2021-12-31,165
171321,MEADE DISTRICT HOSPITAL,2021-01-01,2021-12-31,65
171322,HAMILTON COUNTY HOSPITAL,2021-01-01,2021-12-31,25
171323,STAFFORD COUNTY HOSPITAL,2021-01-01,2021-12-31,25
171324,SATANTA DISTRICT HOSPITAL,2021-01-01,2021-12-31,57
171325,GRAHAM COUNTY HOSPITAL,2021-01-01,2021-12-31,15
171343,STANTON COUNTY HOSPITAL,2021-01-01,2021-12-31,16
171351,WASHINGTON COUNTY HOSPITAL,2021-01-01,2021-12-31,25
171352,DECATUR COUNTY HOSPITAL,2021-01-01,2021-12-31,18
171364,OSBORNE COUNTY MEMORIAL HOSPITAL,2021-01-01,2021-12-31,16
171380,NEOSHO MEMORIAL REGIONAL MED CTR,2021-01-01,2021-12-31,21
171383,WILLIAM NEWTON MEMORIAL HOSPITAL,2021-01-01,2021-12-31,22
173033,MEADOWBROOK REHABILITATION HOSPITAL,2021-01-01,2021-12-31,96
190013,WEST CALCASIEU-CAMERON HOSPITAL,2021-01-01,2021-12-31,107
220098,NASHOBA VALLEY HOSPITAL,2021-01-01,2021-12-31,77
230015,THREE RIVERS HEALTH,2021-01-01,2021-12-31,60
230031,LAKE HURON MEDICAL CENTER,2021-01-01,2021-12-31,164
231303,SCHOOLCRAFT MEMORIAL HOSPITAL,2021-01-01,2021-12-31,12
30108,THE CORE INSTITUTE SPECIALTY HOSPITA,2021-01-01,2021-12-31,28
34035,AVENIR BEHAVIORAL HEALTH CENTER,2021-01-01,2021-12-31,32
40018,BAPTIST HEALTH MEDICAL CENTER - VB,2021-01-01,2021-12-31,74
40069,GREAT RIVER MEDICAL CENTER,2021-01-01,2021-12-31,28
41312,BHMC-HEBER SPRINGS,2021-01-01,2021-12-31,25
41317,DALLAS COUNTY MEDICAL CENTER,2021-01-01,2021-12-31,22
41321,BAPTIST HEALTH MED CTR ARKADELPHIA,2021-01-01,2021-12-31,25
42012,BAPTIST HEALTH EXTENDED CARE,2021-01-01,2021-12-31,36
50394,CMH OF SAN BUENAVENTURA,2021-01-01,2021-12-31,229
50775,TEMECULA VALLEY HOSPITAL,2021-01-01,2021-12-31,140
51990,SUNLAND HOME FOUNDATION,2021-01-01,2021-12-31,
100217,SEBASTIAN RIVER MEDICAL CENTER,2021-01-01,2021-12-31,178
100267,ENGLEWOOD COMMUNITY HOSPITAL,2021-01-01,2021-12-31,100
120011,KFH-HAWAII,2021-01-01,2021-12-31,285
130063,TREASURE VALLEY HOSPITAL,2021-01-01,2021-12-31,22
130066,NORTHWEST SPECIALTY HOSPITAL,2021-01-01,2021-12-31,32
131317,BENEWAH COMMUNITY HOSPITAL,2021-01-01,2021-12-31,19
134017,COTTONWOOD CREEK BEHAVIORAL HOSPITAL,2021-01-01,2021-12-31,92
150005,HENDRICKS REGIONAL HEALTH,2021-01-01,2021-12-31,130
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,2021-01-01,2021-12-31,40
150024,ESKENAZI HEALTH,2021-01-01,2021-12-31,343
150026,GOSHEN HOSPITAL,2021-01-01,2021-12-31,109
150074,COMMUNITY HEALTH NETWORK  INC.,2021-01-01,2021-12-31,366
150113,COMMUNITY HOSPITAL ANDERSON,2021-01-01,2021-12-31,124
150165,FRANCISCAN HEALTH MUNSTER,2021-01-01,2021-12-31,75
150167,ORTHOPAEDIC HOSPT.AT PARKVIEW,2021-01-01,2021-12-31,37
160008,KEOKUK AREA HOSPITAL,2021-01-01,2021-12-31,49
160110,ALLEN MEMORIAL HOSPITAL,2021-01-01,2021-12-31,203
160117,THE FINLEY HOSPITAL,2021-01-01,2021-12-31,106
170009,SAINT JOHN HOSPITAL,2021-01-01,2021-12-31,52
170150,SOUTH CENTRAL KS REGIONAL MEDICAL CT,2021-01-01,2021-12-31,44
170197,KANSAS MEDICAL CENTER,2021-01-01,2021-12-31,58
171357,HILLSBORO COMMUNITY HOSPITAL,2021-01-01,2021-12-31,15
171379,MORRIS COUNTY HOSPITAL,2021-01-01,2021-12-31,21
171384,NEWMAN REGIONAL HEALTH,2021-01-01,2021-12-31,31
174020,COTTONWOOD SPRINGS,2021-01-01,2021-12-31,72
190045,ST. TAMMANY PARISH HOSPITAL,2021-01-01,2021-12-31,213
190046,TOURO INFIRMARY,2021-01-01,2021-12-31,340
190088,SPRINGHILL MEDICAL CENTER,2021-01-01,2021-12-31,58
190313,NEW ORLEANS EAST HOSPITAL,2021-01-01,2021-12-31,60
193086,LEESVILLE REHABILITATION HOSPITAL,2021-01-01,2021-12-31,16
194080,BEACON BEH HOSP NORTHSHORE,2021-01-01,2021-12-31,22
230047,HENRY FORD HEALTH MACOMB HOSPITAL,2021-01-01,2021-12-31,415
230273,DETROIT RECEIVING HOSPITAL,2021-01-01,2021-12-31,223
250128,PANOLA MEDICAL CENTER,2021-01-01,2021-12-31,67
260216,ST. LUKES EAST - LEES SUMMIT,2021-01-01,2021-12-31,216
263029,MERCY REHABILITATION HOSPITAL - ST L,2021-01-01,2021-12-31,90
271307,BENEFIS TETON MEDICAL CENTER,2021-01-01,2021-12-31,25
292008,CARSON TAHOE CONTINUING CARE HOSPITA,2021-01-01,2021-12-31,29
313030,BACHARACH INSTITUTE FOR REHABILITATI,2021-01-01,2021-12-31,80
370026,ST MARYS REGL MEDICAL CENTER,2021-01-01,2021-12-31,164
370094,SSM HEALTH ST ANTHONY HOSPITAL - MID,2021-04-01,2021-12-31,145
380047,ST CHARLES MEDICAL CENTER,2021-01-01,2021-12-31,350
380056,SANTIAM MEMORIAL HOSPITAL,2021-01-01,2021-12-31,40
380060,ADVENTIST MEDICAL CENTER-PORTLAND,2021-01-01,2021-12-31,211
380103,KAISER WESTSIDE MEDICAL CENTER,2021-01-01,2021-12-31,122
381313,ST. CHARLES MED CTR - PRINEVILLE,2021-01-01,2021-12-31,16
381317,TILLAMOOK REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,25
381324,ST CHARLES MADRAS,2021-01-01,2021-12-31,25
382004,VIBRA SPECIALTY HOSP PORTLAND,2021-02-01,2022-01-31,73
431319,PHILIP HEALTH SERVICES INC,2021-01-01,2021-12-31,48
431322,FALL RIVER HOSPITAL,2021-01-01,2021-12-31,84
450653,SCENIC MOUNTAIN MEDICAL CENTER,2021-01-01,2021-12-31,95
450688,DALLAS REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,202
451307,IRAAN GENERAL HOSPITAL DISTRICT,2021-01-01,2021-12-31,14
460011,CASTLEVIEW HOSPITAL,2021-01-01,2021-12-31,39
500052,KFH - WASHINGTON,2021-01-01,2021-12-31,24
500053,TRIOS HEALTH,2021-01-01,2021-12-31,111
501303,WILLAPA HARBOR HOSPITAL,2021-01-01,2021-12-31,10
501304,SUMMIT PACIFIC MEDICAL CENTER,2021-01-01,2021-12-31,10
501310,NEWPORT COMMUNITY HOSPITAL,2021-01-01,2021-12-31,20
501312,PROSSER MEMORIAL HEALTH,2021-01-01,2021-12-31,25
501314,OCEAN BEACH HOSPITAL,2021-01-01,2021-12-31,25
501320,QUINCY VALLEY MEDICAL CENTER,2021-01-01,2021-12-31,10
501324,THREE RIVERS HOSPITAL,2021-01-01,2021-12-31,25
501325,FORKS COMMUNITY HOSPITAL,2021-01-01,2021-12-31,37
501327,WHITMAN HOSPITAL & MEDICAL CENTER,2021-01-01,2021-12-31,25
501334,LAKE CHELAN COMMUNITY HOSPITAL,2021-01-01,2021-12-31,22
501336,MASON GENERAL HOSPITAL,2021-01-01,2021-12-31,25
713026,BOGALUSA REHABILITATION HOSPITAL,2021-01-01,2021-12-31,10
100070,VENICE REGIONAL BAYFRONT HEALTH,2021-01-01,2021-12-31,229
110189,FANNIN REGIONAL HOSPITAL,2021-01-01,2021-12-31,50
150168,LUTHERAN MUSCULOSKELETAL CENTER,2021-01-01,2021-12-31,39
151328,INDIANA UNIVERSITY HEALTH BEDFORD,2021-01-01,2021-12-31,25
153042,LAFAYETTE REGIONAL REHABILITATION HO,2021-01-01,2021-12-31,40
153043,COMMUNITY HEALTH NETWORK REHAB HOSP,2021-01-01,2021-12-31,60
153044,COMMUNITY HEALTH REHAB HOSPITAL SOUT,2021-01-01,2021-12-31,44
210016,AHC WHITE OAK MEDICAL CENTER,2021-01-01,2021-12-31,178
213029,ADVENTIST REHAB. HOSPT. OF MD,2021-01-01,2021-12-31,97
263301,ST. LOUIS CHILDRENS HOSPITAL,2021-01-01,2021-12-31,417
310064,ATLANTICARE REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,540
310092,HELENE FULD MEDICAL CENTER,2021-01-01,2021-12-31,179
314012,HMH CARRIER CLINIC,2021-01-01,2021-12-31,224
314018,NORTHBROOK BEHAVIORAL HEALTH HOSPITA,2021-01-01,2021-12-31,158
314022,SAINT BARNABAS BEHAVIORAL HEALTH CEN,2021-01-01,2021-12-31,40
344029,GOOD HOPE HOSPITAL INC,2021-01-01,2021-12-31,16
390041,UNIONTOWN HOSPITAL,2021-01-01,2021-12-31,145
390316,SURGICAL INSTITUTE OF READING,2021-01-01,2021-12-31,15
390323,ADVANCED SURGICAL HOSPITAL,2021-01-01,2021-12-31,14
391306,ENDLESS MOUNTAINS HEALTH SYSTEMS,2021-01-01,2021-12-31,25
400134,SAN JORGE CHILDRENS HOSPITAL INC.,2021-01-01,2021-12-31,
440144,VANDERBILT TULLAHOMA-HARTON HOSPITAL,2021-07-01,2021-06-30,74
443037,KNOXVILLE REHABILITATION HOSPITAL,2021-07-23,2021-12-31,57
450587,HENDRICK MEDICAL CENTER BROWNWOOD,2020-10-27,2021-08-31,65
452087,SSH - LONGVIEW  INC.,2021-01-01,2021-12-31,32
490143,RIVERSIDE DOCTORS HOSPITAL WILLIAMSB,2021-01-01,2021-12-31,40
510030,DAVIS MEMORIAL HOSPITAL,2021-01-01,2021-12-31,110
30088,BANNER BAYWOOD MEDICAL CENTER,2021-01-01,2021-12-31,340
30105,BANNER HEART HOSPITAL,2021-01-01,2021-12-31,108
31318,BANNER PAYSON MEDICAL CENTER,2021-01-01,2021-12-31,25
51320,BANNER LASSEN MEDICAL CENTER,2021-01-01,2021-12-31,25
100236,HCA FL FAWCETT HOSPITAL,2021-01-01,2021-12-31,253
104063,THE WILLOUGH AT NAPLES,2021-01-01,2021-12-31,87
111330,POLK MEDICAL CENTER,2021-07-01,2021-12-31,25
150004,FRANCISCAN HEALTH HAMMOND,2021-01-01,2021-12-31,56
150048,REID HOSPITAL & HEALTH CARE SERVICES,2021-01-01,2021-12-31,231
150061,DAVIESS COMMUNITY HOSPITAL,2021-01-01,2021-12-31,68
150090,FRANCISCAN HEALTH- DYER,2021-01-01,2021-12-31,142
150126,FRANCISCAN HEALTH CROWN POINT,2021-01-01,2021-12-31,192
151312,IU HEALTH WHITE HOSPITAL,2021-01-01,2021-12-31,25
151316,IU HEALTH FRANKFORT HOSPITAL,2021-01-01,2021-12-31,12
151320,IU HEALTH JAY HOSPITAL,2021-01-01,2021-12-31,21
151324,FRANCISCAN HEALTH RENSSELAER,2021-01-01,2021-12-31,25
170068,SOUTHWEST MEDICAL CENTER,2021-01-01,2021-12-31,71
170120,LABETTE COUNTY MEDICAL CENTER,2021-01-01,2021-12-31,56
190245,MONROE SURGICAL HOSPITAL,2021-01-01,2021-12-31,10
230096,STURGIS HOSPITAL  INC.,2020-10-01,2021-09-30,49
260110,SOUTHEASTHEALTH,2021-01-01,2021-12-31,245
260160,SOUTHEASTHEALTH CENTER OF STODDARD C,2021-01-01,2021-12-31,48
260162,BARNES JEWISH WEST COUNTY HOSPITAL,2021-01-01,2021-12-31,68
260193,ST MARYS MEDICAL CENTER,2021-01-01,2021-12-31,83
263304,SHRINERS HOSPITAL FOR CHILDREN,2021-01-01,2021-12-31,
280003,BRYAN MEDICAL CENTER,2021-01-01,2021-12-31,612
280061,REGIONAL WEST MEDICAL CENTER,2021-01-01,2021-12-31,158
280125,FAITH REGIONAL HEALTH SERVICES,2021-01-01,2021-12-31,129
291313,BANNER CHURCHILL COMMUNITY HOSPITAL,2021-01-01,2021-12-31,25
350063,QUENTIN N BURDICK MEMORIAL HOSPITAL,2020-10-01,2021-09-30,27
452096,LAREDO SPECIALTY HOSPITAL,2021-02-01,2022-01-31,40
452121,CONTINUECARE HOSPITAL AT MEDICAL CEN,2021-02-01,2022-01-31,25
524017,NORTH CENTRAL HEALTH CARE FACILITIES,2021-01-01,2021-12-31,181
670078,BAPTIST EMERGENCY HOSPITAL,2021-01-01,2021-12-31,50
670116,WISE HEALTH SYSTEM - PARKWAY,2021-01-01,2021-12-31,36
30084,CHINLE COMPREHENSIVE CARE FACILITY,2020-10-01,2021-09-30,60
40147,ARKANSAS SURGICAL HOSPITAL,2021-01-01,2021-12-31,47
111314,LIFEBRITE COMMUNITY HOSPITAL OF EARL,2021-01-01,2021-12-31,152
140034,SSM HEALTH ST. MARYS HOSPITAL,2021-01-01,2021-12-31,124
140046,SSM HEALTH GOOD SAMARITAN HOSPITAL,2021-01-01,2021-12-31,124
140294,CROSSROADS COMMUNITY HOSPITAL,2021-01-01,2021-12-31,47
150015,FRANCISCAN HEALTH MICHIGAN CITY,2021-01-01,2021-12-31,113
150058,MEMORIAL HOSPITAL OF SOUTH BEND  INC,2021-01-01,2021-12-31,449
150183,MONROE  HOSPITAL,2021-01-01,2021-12-31,32
151322,PERRY COUNTY HOSPITAL,2021-01-01,2021-12-31,25
151333,PUTNAM COUNTY HOSPITAL,2021-01-01,2021-12-31,25
154055,BRENTWOOD SPRINGS,2021-01-01,2021-12-31,48
154059,SYCAMORE SPRINGS,2021-01-01,2021-12-31,48
170190,MANHATTAN SURGICAL HOSPITAL,2021-01-01,2021-12-31,13
231304,HELEN NEWBERRY JOY HOSPITAL,2021-01-01,2021-12-31,64
231313,HARBOR BEACH COMMUNITY HOSPITAL,2021-01-01,2021-12-31,45
231338,SPECTRUM HEALTH GERBER,2021-01-01,2021-12-31,25
233300,CHILDRENS HOSPITAL OF MICHIGAN,2021-01-01,2021-12-31,226
241366,MEEKER COUNTY MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
261309,WRIGHT MEMORIAL HOSPITAL,2021-01-01,2021-12-31,21
261321,HEDRICK MEDICAL CENTER,2021-01-01,2021-12-31,25
261337,MISSOURI BAPTIST SULLIVAN HOSPITAL,2021-01-01,2021-12-31,35
280032,MARY LANNING MEMORIAL HOSPITAL ASSOC,2021-01-01,2021-12-31,132
310016,CHRIST HOSPITAL,2021-01-01,2021-12-31,163
310091,SALEM MEDICAL CENTER,2021-01-01,2021-12-31,126
321309,MIMBRES MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
370172,CHOCTAW NATION HEALTH CARE CENTER,2020-10-01,2021-09-30,43
370180,CHICKASAW NATION MEDICAL CENTER,2020-10-01,2021-09-30,72
380020,MCKENZIE-WILLAMETTE HOSPITAL,2021-01-01,2021-12-31,113
380071,WILLAMETTE VALLEY MEDICAL CENTER,2021-01-01,2021-12-31,60
400132,DOCTORS CENTER HOSPITAL CAROLINA,2021-01-01,2021-12-31,109
444007,ROLLING HILLS HOSPITAL,2021-03-01,2022-02-28,130
531305,PLATTE COUNTY MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
30130,BANNER IRONWOOD MEDICAL CENTER,2021-01-01,2021-12-31,89
54075,ALVARADO PARKWAY INSTITUTE,2021-01-01,2021-12-31,66
230092,W.A. FOOTE MEMORIAL HOSPITAL,2021-01-01,2021-12-31,372
234011,KINGSWOOD HOSPITAL,2021-01-01,2021-12-31,136
250004,NORTH MISSISSIPPI MEDICAL CENTER,2020-10-01,2021-09-30,644
250020,WEBSTER HEALTH SERVICES,2020-10-01,2021-09-30,38
260138,SAINT LUKES HOSPITAL OF KANSAS CITY,2021-01-01,2021-12-31,521
260214,BELTON REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,71
280129,NEBRASKA ORTHOPAEDIC HOSPITAL LLC,2021-01-01,2021-12-31,24
331303,GARNET HEALTH MEDICAL CENTER - CATSK,2021-01-01,2021-12-31,15
374012,BROOKHAVEN MEADOWBROOK HOSPITAL,2021-01-01,2021-12-31,
452062,WARM SPRINGS SPECIALITY HOSPITAL,2021-01-01,2021-12-31,42
452094,VICTORIA WARM SPRINGS SPECIALTY HOSP,2021-01-01,2021-12-31,42
673075,COBALT REHAB HOSPITAL EL PASO,2021-01-01,2021-12-31,40
150051,IU HEALTH BLOOMINGTON HOSPITAL,2021-01-01,2021-12-31,270
330009,BRONXCARE HEALTH SYSTEM,2021-01-01,2021-12-31,558
330386,GARNET HEALTH MEDICAL CENTER - CATSK,2021-01-01,2021-12-31,151
450697,SOUTHWEST GENERAL HOSPITAL,2020-10-01,2021-09-30,233
14018,BEHAVIORAL HEALTH CENTERS,2021-01-01,2021-12-31,20
171300,GRISELL MEMORIAL HOSPITAL DIST #1,2021-01-01,2021-12-31,23
250002,TISHOMINGO HEALTH SERVICES,2020-10-01,2021-09-30,48
250067,CLAY COUNTY MEDICAL CORPORATION,2020-10-01,2021-09-30,49
444005,BEHAVORIAL HEALTHCARE CENTERS,2021-01-01,2021-12-31,16
444019,BEHAVIORAL HEALTHCARE CENTERS  LLC,2021-01-01,2021-12-31,26
444021,BEHAVORIAL HEALTH CENTERS,2021-01-01,2021-12-31,16
444024,BEHAVIORAL HEALTH CENTERS,2021-01-01,2021-12-31,17
494032,THE PAVILION AT WILLIAMSBURG PLACE,2021-01-01,2021-12-31,66
524001,MILWAUKEE CTY MENTAL HEALTH COMPLEX,2021-01-01,2021-12-31,120
330103,UPPER ALLEGHENY HEALTH SYSTEM,2021-01-01,2021-12-31,299
330126,GARNET HEALTH MEDICAL CENTER,2021-01-01,2021-12-31,383
374021,PARKSIDE HOSPITAL  INC.,2021-01-01,2021-12-31,120
14006,MOUNTAIN VIEW HOSPITAL,2021-01-01,2021-12-31,
30139,ARIZONA GENERAL HOSPITAL,2021-01-01,2021-12-31,50
50537,SUTTER DAVIS HOSPITAL,2021-01-01,2021-12-31,48
50557,MEMORIAL HOSPITAL MODESTO,2021-01-01,2021-12-31,403
50586,CHINO VALLEY MEDICAL CENTER,2021-01-01,2021-12-31,112
50588,SAN DIMAS COMMUNITY HOSPITAL,2021-01-01,2021-12-31,101
50590,METHODIST HOSPITAL OF SACRAMENTO,2021-01-01,2021-12-31,329
50709,DESERT VALLEY HOSPITAL  INC.,2021-01-01,2021-12-31,148
50764,SHASTA REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,226
53308,HEALTHBRIDGE CHILDRENS HOSPITAL,2021-04-01,2021-08-31,
61311,SOUTHEAST COLORADO HOSPITAL,2021-01-01,2021-12-31,71
130074,IDAHO FALLS COMMUNITY HOSPITAL,2021-01-01,2021-12-31,88
250038,MADISON RIVER OAKS MEDICAL CENTER,2021-01-01,2021-12-31,67
423300,SHRINERS HOSPITALS FOR CHILDREN,2021-01-01,2021-12-31,
450324,TEXOMA MEDICAL CENTER,2021-01-01,2021-12-31,414
461302,MOAB REGIONAL HOSPITAL,2021-01-01,2021-12-31,17
50313,SUTTER TRACY COMMUNITY HOSPITAL,2021-01-01,2021-12-31,77
251308,PONTOTOC HEALTH SERVICES,2020-10-01,2021-09-30,25
184014,FIRST HOSPITAL HOPKINSVILLE,2021-01-01,2021-12-31,97
194083,CYPRESS GROVE BEHAVIORAL HEALTH,2021-01-01,2021-12-31,60
254007,BRENTWOOD BEHAVIORAL HEALTHCARE,2021-01-01,2021-12-31,121
281357,SIDNEY REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,80
364065,GLENWOOD BEHAVIORAL HEALTH HOSPITAL,2021-07-13,2021-12-31,55
370243,SOUTHERN PLAINS MED CTR OF GARVIN CO,2021-08-10,2021-12-31,43
394057,MALVERN BEHAVIORAL,2021-01-01,2021-12-31,
30073,TUBA CITY REG HEALTH CARE CORP,2020-10-01,2021-09-30,73
30074,SELLS HOSPITAL,2020-10-01,2021-09-30,14
30077,SAN CARLOS APACHE HEALTHCARE CORP,2020-10-01,2021-09-30,12
30078,PHOENIX INDIAN MEDICAL CENTER,2020-10-01,2021-09-30,133
30147,BANNER OCOTILLO MEDICAL CENTER,2021-01-01,2021-12-31,94
60028,SAINT JOSEPH HOSPITAL,2021-01-01,2021-12-31,364
94001,ST. ELIZABETHS HOSPITAL,2020-10-01,2021-09-30,292
101303,LAKE BUTLER HOSPITAL,2021-01-01,2021-12-31,25
104074,PARK ROYAL HOSPITAL,2021-01-01,2021-12-31,114
152024,RH OF NORTHWEST INDIANA  LLC,2021-02-01,2022-01-31,61
224041,SOUTHCOAST BEHAVIORAL HEALTH,2021-01-01,2021-12-31,144
230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,2021-01-01,2021-12-31,191
240206,RED LAKE INDIAN HOSPITAL,2020-10-01,2021-09-30,23
250127,CHOCTAW HEALTH CENTER,2020-10-01,2021-09-30,20
270074,BLACKFEET COMMUNITY HOSPITAL,2020-10-01,2021-09-30,26
310005,HUNTERDON MEDICAL CENTER,2021-01-01,2021-12-31,184
310111,CENTRASTATE MEDICAL CENTER,2021-01-01,2021-12-31,239
330304,WHITE PLAINS HOSPITAL,2021-01-01,2021-12-31,292
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,2020-10-01,2021-09-30,34
342018,SSH - DURHAM,2021-02-01,2022-01-31,30
370171,CHEROKEE NATION WW HASTINGS HOSPITAL,2020-10-01,2021-09-30,52
372009,SSH - OKLAHOMA CITY  INC.,2021-02-01,2022-01-31,72
374016,ROLLING HILLS HOSPITAL,2021-01-01,2021-12-31,108
381318,HOOD RIVER MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
392047,SSH - DANVILLE,2021-02-01,2022-01-31,30
430098,PINE RIDGE HOSPITAL,2020-10-01,2021-09-30,45
450085,GRAHAM REGIONAL MEDICAL CENTER,2020-10-01,2021-09-30,25
100289,CCF HOSPITAL - WESTON,2021-01-01,2021-12-31,230
150097,MAJOR HOSPITAL,2021-01-01,2021-12-31,46
261323,CEDAR COUNTY MEMORIAL HOSPITAL,2021-02-01,2022-01-31,25
394050,ROXBURY PSYCHIATRIC HOSPITAL,2021-01-01,2021-12-31,112
